model,think,tool_filter,prompt_style,cond,host,jobid,solve_succ,solve_ci_lo,solve_ci_hi,solve_tool_sel,solve_trunc,validate_domain_succ,validate_domain_ci_lo,validate_domain_ci_hi,validate_domain_tool_sel,validate_domain_trunc,validate_problem_succ,validate_problem_ci_lo,validate_problem_ci_hi,validate_problem_tool_sel,validate_problem_trunc,validate_plan_succ,validate_plan_ci_lo,validate_plan_ci_hi,validate_plan_tool_sel,validate_plan_trunc,simulate_succ,simulate_ci_lo,simulate_ci_hi,simulate_tool_sel,simulate_trunc,st_mean,total_n
Qwen3_5_0_8B,off,-,-,no-tools,rtx,,0.0,0.0,0.0126,,0.6866666666666666,0.8333,0.7914,0.8683,,0.0,0.5133,0.4734,0.5531,,0.0,0.5053,0.4874,0.5232,,0.0,0.0,0.0,0.0126,,0.38333333333333336,0.37038000000000004,4560
Qwen3_5_0_8B,off,all,minimal,tools,rtx,,0.1433,0.1082,0.1875,0.4467,0.006666666666666667,0.7306,0.6825,0.7738,0.9194,0.0,0.3383,0.3016,0.3771,0.9183,0.006666666666666667,0.1737,0.1605,0.1876,0.6797,0.03766666666666667,0.0533,0.0331,0.0849,0.6,0.12,0.28784,4560
Qwen3_5_0_8B,off,per-task,minimal,tools,rtx,,0.14,0.1053,0.1838,0.5233,0.006666666666666667,0.9167,0.8835,0.941,0.9972,0.0,0.365,0.3274,0.4043,0.9933,0.0016666666666666668,0.2307,0.2159,0.2461,0.8667,0.03333333333333333,0.0267,0.0136,0.0517,0.1267,0.30333333333333334,0.33582,4560
Qwen3_5_0_8B,on,-,-,no-tools,rtx,,0.0,0.0,0.0126,,0.9666666666666667,0.0,0.0,0.0106,,1.0,0.0033,0.0009,0.0121,,0.9966666666666667,0.001,0.0003,0.0029,,0.999,0.0,0.0,0.0126,,0.95,0.00086,4560
Qwen3_5_0_8B,on,all,minimal,tools,rtx,,0.2033,0.1617,0.2525,0.66,0.2833333333333333,0.9083,0.8741,0.934,0.9722,0.09444444444444444,0.4917,0.4518,0.5316,0.9133,0.27666666666666667,0.2113,0.1971,0.2263,0.751,0.37533333333333335,0.02,0.0092,0.0429,0.5633,0.4033333333333333,0.36692,4560
Qwen3_5_0_8B,on,per-task,minimal,tools,rtx,,0.15,0.114,0.1948,0.5167,0.5,0.8889,0.8522,0.9173,0.9361,0.09722222222222222,0.425,0.386,0.4649,0.8733,0.18666666666666668,0.2807,0.2649,0.297,0.7213,0.42966666666666664,0.03,0.0159,0.056,0.5367,0.4266666666666667,0.35492,4560
gemma4_31b,off,-,-,no-tools,rtx,,0.09,0.0626,0.1278,,0.04666666666666667,0.5472,0.4956,0.5979,,0.002777777777777778,0.74,0.7035,0.7735,,0.0,0.6697,0.6526,0.6863,,0.0006666666666666666,0.0,0.0,0.0126,,0.09,0.40937999999999997,4560
gemma4_31b,off,all,minimal,tools,rtx,,0.9967,0.9814,0.9994,1.0,0.0033333333333333335,0.9833,0.9641,0.9923,1.0,0.0,0.985,0.9717,0.9921,1.0,0.0,0.9807,0.9751,0.985,1.0,0.0,0.99,0.971,0.9966,1.0,0.006666666666666667,0.9871399999999999,4560
gemma4_31b,off,per-task,minimal,tools,rtx,,0.9933,0.976,0.9982,1.0,0.0,0.9833,0.9641,0.9923,1.0,0.0,0.9833,0.9696,0.9909,1.0,0.0,0.9887,0.9842,0.9919,1.0,0.0,0.9833,0.9616,0.9929,1.0,0.006666666666666667,0.9863799999999999,4560
gemma4_31b,on,-,-,no-tools,rtx,,0.0233,0.0113,0.0474,,0.3,0.5278,0.4762,0.5788,,0.21666666666666667,0.5083,0.4684,0.5482,,0.3983333333333333,0.526,0.5081,0.5438,,0.2946666666666667,0.0,0.0,0.0126,,0.25666666666666665,0.31708000000000003,4560
gemma4_31b,on,all,minimal,tools,rtx,,0.9933,0.976,0.9982,0.9933,0.016666666666666666,0.4,0.3507,0.4514,1.0,0.002777777777777778,0.0,0.0,0.0064,1.0,0.023333333333333334,0.082,0.0727,0.0924,0.8173,0.16933333333333334,0.9933,0.976,0.9982,1.0,0.043333333333333335,0.49372,4560
gemma4_31b,on,per-task,minimal,tools,rtx,,1.0,0.9874,1.0,1.0,0.0033333333333333335,0.9722,0.9496,0.9848,1.0,0.0,0.9783,0.9633,0.9873,1.0,0.01,0.9043,0.8933,0.9143,0.9103,0.08666666666666667,0.9867,0.9662,0.9948,1.0,0.006666666666666667,0.9682999999999999,4560
qwen3_6_35b,off,-,-,no-tools,rtx,,0.41,0.3558,0.4665,,0.18666666666666668,0.5722,0.5206,0.6223,,0.019444444444444445,0.7067,0.669,0.7417,,0.0016666666666666668,0.9073,0.8964,0.9172,,0.014,0.0,0.0,0.0126,,0.10666666666666667,0.51924,4560
qwen3_6_35b,off,all,minimal,tools,rtx,,0.9,0.8608,0.9291,0.91,0.06,0.9,0.8647,0.9269,1.0,0.011111111111111112,0.825,0.7926,0.8533,0.9283,0.021666666666666667,0.3723,0.3552,0.3898,0.4017,0.044,0.86,0.8162,0.8947,0.9533,0.11333333333333333,0.77146,4560
qwen3_6_35b,off,per-task,minimal,tools,rtx,,0.9333,0.8993,0.9564,0.9433,0.06333333333333334,0.9389,0.9092,0.9593,1.0,0.002777777777777778,0.8983,0.8716,0.92,1.0,0.035,0.8803,0.8682,0.8915,0.9547,0.019666666666666666,0.8133,0.7654,0.8534,0.98,0.12666666666666668,0.8928200000000001,4560
qwen3_6_35b,on,-,-,no-tools,rtx,,0.4633,0.4077,0.5199,,0.26,0.6694,0.6193,0.716,,0.1111111111111111,0.7333,0.6965,0.7672,,0.03,0.8217,0.8076,0.835,,0.13433333333333333,0.0,0.0,0.0126,,0.37666666666666665,0.53754,4560
qwen3_6_35b,on,all,minimal,tools,rtx,,0.95,0.9192,0.9695,0.98,0.05333333333333334,0.9139,0.8804,0.9387,1.0,0.008333333333333333,0.895,0.8679,0.9171,0.9983,0.006666666666666667,0.876,0.8637,0.8873,0.9373,0.043333333333333335,0.88,0.8383,0.912,0.9933,0.15666666666666668,0.90298,4560
qwen3_6_35b,on,per-task,minimal,tools,rtx,,0.87,0.8272,0.9034,0.9367,0.13,0.8833,0.8461,0.9125,1.0,0.025,0.9117,0.8863,0.9318,1.0,0.011666666666666667,0.9427,0.9338,0.9504,0.984,0.050333333333333334,0.88,0.8383,0.912,0.9867,0.18333333333333332,0.89754,4560
