model,think,tool_filter,prompt_style,cond,host,jobid,solve_succ,solve_ci_lo,solve_ci_hi,solve_tool_sel,solve_trunc,validate_domain_succ,validate_domain_ci_lo,validate_domain_ci_hi,validate_domain_tool_sel,validate_domain_trunc,validate_problem_succ,validate_problem_ci_lo,validate_problem_ci_hi,validate_problem_tool_sel,validate_problem_trunc,validate_plan_succ,validate_plan_ci_lo,validate_plan_ci_hi,validate_plan_tool_sel,validate_plan_trunc,simulate_succ,simulate_ci_lo,simulate_ci_hi,simulate_tool_sel,simulate_trunc,chain_L2_succ,chain_L2_ci_lo,chain_L2_ci_hi,chain_L3_succ,chain_L3_ci_lo,chain_L3_ci_hi,chain_L4_succ,chain_L4_ci_lo,chain_L4_ci_hi,chain_L5_succ,chain_L5_ci_lo,chain_L5_ci_hi,st_mean,total_n
Qwen3_5_0_8B,off,-,-,no-tools,rtx,17178995,0.0,0.0,0.0714,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50
Qwen3_5_0_8B,off,all,guided,tools,rtx,17137995,0.18,0.0977,0.308,0.94,0.12,0.46,0.3297,0.596,0.86,0.16,0.1,0.0435,0.2136,0.82,0.2,0.08,0.0315,0.1884,0.74,0.28,0.04,0.011,0.1346,0.56,0.3,0.03,0.0103,0.0845,0.05,0.0215,0.1118,0.01,0.0018,0.0545,0.02,0.0055,0.07,0.172,250
Qwen3_5_0_8B,off,all,minimal,tools,rtx,17137995,0.04,0.011,0.1346,0.92,0.1,0.24,0.143,0.3741,0.98,0.02,0.04,0.011,0.1346,0.88,0.16,0.02,0.0035,0.105,0.86,0.2,0.0,0.0,0.0714,0.6,0.26,0.03,0.0103,0.0845,0.0,0.0,0.037,0.01,0.0018,0.0545,0.0,0.0,0.037,0.06799999999999999,250
Qwen3_5_0_8B,off,per-task,guided,tools,rtx,17137995,0.18,0.0977,0.308,0.94,0.12,0.76,0.6259,0.857,0.78,0.22,0.42,0.2937,0.5577,0.6,0.4,0.12,0.0562,0.2381,0.4,0.58,0.06,0.0206,0.1622,0.22,0.78,0.08,0.0411,0.15,0.06,0.0278,0.1248,0.01,0.0018,0.0545,0.03,0.0103,0.0845,0.308,250
Qwen3_5_0_8B,off,per-task,minimal,tools,rtx,17137995,0.28,0.1747,0.4167,0.94,0.14,0.56,0.4231,0.6884,0.78,0.22,0.2,0.1124,0.3304,0.82,0.2,0.08,0.0315,0.1884,0.74,0.32,0.02,0.0035,0.105,0.32,0.62,0.08,0.0411,0.15,0.04,0.0157,0.0984,0.02,0.0055,0.07,0.03,0.0103,0.0845,0.22800000000000004,250
Qwen3_5_0_8B,on,all,guided,tools,rtx,17137995,0.18,0.0977,0.308,0.84,0.52,0.4,0.2761,0.5382,0.66,0.5,0.16,0.0834,0.2851,0.4,0.74,0.0,0.0,0.0714,0.46,0.78,0.02,0.0035,0.105,0.38,0.76,0.05,0.0215,0.1118,0.02,0.0055,0.07,0.0,0.0,0.037,0.0,0.0,0.037,0.152,250
Qwen3_5_0_8B,on,all,minimal,tools,rtx,17137995,0.1,0.0435,0.2136,0.94,0.44,0.38,0.2586,0.5185,0.56,0.5,0.12,0.0562,0.2381,0.54,0.64,0.02,0.0035,0.105,0.48,0.76,0.0,0.0,0.0714,0.42,0.68,0.01,0.0018,0.0545,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,0.037,0.124,250
Qwen3_5_0_8B,on,per-task,guided,tools,rtx,17137995,0.18,0.0977,0.308,0.86,0.54,0.36,0.2414,0.4986,0.36,0.64,0.08,0.0315,0.1884,0.24,0.82,0.02,0.0035,0.105,0.26,0.86,0.04,0.011,0.1346,0.24,0.84,0.01,0.0018,0.0545,0.01,0.0018,0.0545,0.0,0.0,0.037,0.0,0.0,0.037,0.13599999999999998,250
Qwen3_5_0_8B,on,per-task,minimal,tools,rtx,17137995,0.16,0.0834,0.2851,0.88,0.5,0.4,0.2761,0.5382,0.42,0.58,0.16,0.0834,0.2851,0.36,0.78,0.16,0.0834,0.2851,0.56,0.7,0.0,0.0,0.0714,0.5,0.76,0.04,0.0157,0.0984,0.03,0.0103,0.0845,0.0,0.0,0.037,0.0,0.0,0.037,0.176,250
Qwen3_5_27b,off,-,-,no-tools,rtx,17178997,0.52,0.3851,0.652,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,50
