model,think,tool_filter,prompt_style,cond,arm,host,jobid,solve_succ,solve_ci_lo,solve_ci_hi,solve_tool_sel,solve_trunc,solve_out_med,validate_domain_succ,validate_domain_ci_lo,validate_domain_ci_hi,validate_domain_tool_sel,validate_domain_trunc,validate_domain_out_med,validate_problem_succ,validate_problem_ci_lo,validate_problem_ci_hi,validate_problem_tool_sel,validate_problem_trunc,validate_problem_out_med,validate_plan_succ,validate_plan_ci_lo,validate_plan_ci_hi,validate_plan_tool_sel,validate_plan_trunc,validate_plan_out_med,simulate_succ,simulate_ci_lo,simulate_ci_hi,simulate_tool_sel,simulate_trunc,simulate_out_med,st_mean,total_n
Qwen3_5_0_8B,off,-,-,no-tools,nt-neut,rtx,,0.0,0.0,0.0126,0.0,0.0,8192.0,0.8083,0.7645,0.8457,0.0,0.0,6.0,0.5117,0.4717,0.5515,0.0,0.0,6.0,0.4983,0.4805,0.5162,0.0,0.0,6.0,0.0,0.0,0.0126,0.0,0.0,252.2,0.36366,4560
Qwen3_5_0_8B,off,all,minimal,tools,tl-neut,rtx,,0.1133,0.0822,0.1542,0.98,0.0,4304.2,0.9056,0.8709,0.9316,1.0,0.0,871.7,0.195,0.1653,0.2286,0.9717,0.0,6023.0,0.2053,0.1913,0.2202,0.8577,0.0,6124.7,0.09,0.0626,0.1278,0.47,0.0,6132.5,0.30184,4560
Qwen3_5_0_8B,off,all,minimal,tools,tl-ster,rtx,,0.16,0.1229,0.2057,0.9933,0.0,4303.8,0.9028,0.8678,0.9293,1.0,0.0,739.2,0.1317,0.1069,0.1611,1.0,0.0,6049.2,0.2583,0.243,0.2743,1.0,0.0,6144.0,0.0133,0.0052,0.0338,1.0,0.0,6155.3,0.29322,4560
Qwen3_5_0_8B,on,-,-,no-tools,nt-neut,rtx,,0.0,0.0,0.0126,0.0,0.0,8192.0,0.0028,0.0005,0.0156,0.0,0.0,6144.0,0.0017,0.0003,0.0094,0.0,0.0,6144.0,0.0,0.0,0.0013,0.0,0.0,6144.0,0.0,0.0,0.0126,0.0,0.0,6144.0,0.0009,4560
Qwen3_5_0_8B,on,all,minimal,tools,tl-neut,rtx,,0.1167,0.0851,0.1579,0.48,0.0,7271.8,0.8861,0.8491,0.9149,0.9694,0.0,1060.3,0.145,0.1191,0.1754,0.9333,0.0,8204.3,0.1583,0.1457,0.1718,0.701,0.0,7297.2,0.0533,0.0331,0.0849,0.2967,0.0,6191.8,0.27188,4560
Qwen3_5_0_8B,on,all,minimal,tools,tl-ster,rtx,,0.2333,0.189,0.2844,0.7767,0.0,8192.0,0.95,0.9224,0.9681,0.9722,0.0,1376.2,0.21,0.1793,0.2444,0.945,0.0,7980.5,0.1823,0.1689,0.1966,0.7687,0.0,7477.7,0.02,0.0092,0.0429,0.8167,0.0,7016.3,0.31911999999999996,4560
Qwen3_5_4B,off,-,-,no-tools,nt-neut,rtx,,0.0767,0.0516,0.1124,0.0,0.0,4806.2,0.1917,0.1543,0.2355,0.0,0.0,6.0,0.565,0.525,0.6041,0.0,0.0,6.0,0.7403,0.7243,0.7557,0.0,0.0,1306.3,0.0,0.0,0.0126,0.0,0.0,4262.0,0.31473999999999996,4560
Qwen3_5_4B,off,all,minimal,tools,tl-neut,?,,0.77,0.7191,0.814,1.0,0.0,3342.8,0.95,0.9224,0.9681,1.0,0.0,703.0,0.8,0.7661,0.8301,0.9983,0.0,1501.5,0.6281,0.606,0.6496,1.0,0.0,3104.3,,,,,,,0.787025,3142
Qwen3_5_4B,off,all,minimal,tools,tl-ster,?,,0.7833,0.7333,0.8262,1.0,0.0,3241.5,0.9667,0.9426,0.9808,1.0,0.0,703.3,0.7967,0.7626,0.8269,1.0,0.0,1672.8,0.7176,0.6968,0.7374,1.0,0.0,2441.8,,,,,,,0.816075,3140
Qwen3_5_4B,on,-,-,no-tools,nt-neut,?,,0.1567,0.1199,0.2021,0.0,0.0,8192.0,0.0083,0.0028,0.0242,0.0,0.0,6144.0,0.1203,0.0969,0.1484,0.0,0.0,6144.0,0.1742,0.1484,0.2034,0.0,0.0,6144.0,,,,,,,0.114875,2004
